ID_Transaksi,Tanggal,Kategori,Harga_Satuan,Jumlah,Total_Transaksi,Status
1,2025-12-26 11:35:41,PC Case,208703.75,4,834815.0,Lunas
2,2025-12-05 17:58:36,GPU,442950.8,5,2214754.0,Lunas
3,2025-03-30 09:15:49,RAM,519950.0,4,2079800.0,Lunas
4,2025-05-22 22:10:17,GPU,361800.5,4,1447202.0,Lunas
5,2025-11-12 21:12:55,PC Case,1486622.0,1,1486622.0,Lunas
6,2025-09-06 11:01:26,GPU,790480.0,1,790480.0,Lunas
7,2025-01-25 14:24:27,GPU,182295.0,3,546885.0,Lunas
8,2025-04-04 09:09:36,CPU,452118.75,4,1808475.0,Lunas
9,2025-11-16 06:57:55,GPU,584309.67,3,1752929.0,Lunas
10,2025-12-29 11:21:08,PC Case,576435.0,4,2305740.0,Lunas
11,2025-03-19 09:49:23,RAM,542650.75,4,2170603.0,Lunas
12,2025-12-15 01:25:44,MotherBoard,732525.33,3,2197576.0,Lunas
13,2025-12-02 23:59:25,GPU,433937.25,4,1735749.0,Lunas
14,2025-07-17 01:02:15,PC Case,561745.75,4,2246983.0,Hutang
15,2025-12-31 21:19:05,CPU,909764.5,2,1819529.0,Lunas
16,2025-08-01 20:08:11,CPU,303577.75,4,1214311.0,Batal
17,2025-02-08 22:05:37,MotherBoard,754610.0,3,2263830.0,Lunas
18,2025-06-10 09:14:37,GPU,1075541.5,2,2151083.0,Lunas
19,2025-07-07 17:18:21,GPU,384016.75,4,1536067.0,Lunas
20,2025-11-26 09:59:32,MotherBoard,507368.67,3,1522106.0,Lunas
21,2025-02-25 13:45:49,GPU,431627.4,5,2158137.0,Lunas
22,2025-08-29 11:14:17,RAM,237679.2,5,1188396.0,Hutang
23,2025-11-16 15:16:33,CPU,285645.0,5,1428225.0,Lunas
24,2025-09-23 15:34:15,RAM,270486.25,4,1081945.0,Lunas
25,2025-10-30 14:42:28,GPU,406860.0,3,1220580.0,Hutang
26,2025-08-03 19:13:16,RAM,473384.0,3,1420152.0,Lunas
27,2025-07-29 04:52:31,MotherBoard,2147793.0,1,2147793.0,Lunas
28,2025-04-26 12:39:15,RAM,464964.5,2,929929.0,Hutang
29,2025-07-28 06:29:06,MotherBoard,300763.5,4,1203054.0,Lunas
30,2025-12-05 22:43:11,PC Case,364644.25,4,1458577.0,Lunas
31,2025-04-10 01:33:20,RAM,95855.8,5,479279.0,Lunas
32,2025-07-06 02:28:35,RAM,1256588.0,1,1256588.0,Hutang
33,2025-10-06 11:40:10,PC Case,181657.0,5,908285.0,Lunas
34,2025-10-10 06:03:18,MotherBoard,619479.0,2,1238958.0,Hutang
35,2025-08-04 15:15:15,MotherBoard,2186393.0,1,2186393.0,Lunas
36,2025-08-08 20:09:42,GPU,564115.0,3,1692345.0,Hutang
37,2025-12-02 03:33:29,PC Case,1110529.0,1,1110529.0,Hutang
38,2025-12-13 21:21:51,CPU,196366.8,5,981834.0,Batal
39,2025-08-21 15:26:58,PC Case,562441.5,2,1124883.0,Lunas
40,2025-04-02 09:47:48,PC Case,264419.8,5,1322099.0,Lunas
41,2025-02-06 22:02:55,MotherBoard,624561.67,3,1873685.0,Lunas
42,2025-12-25 11:25:28,MotherBoard,513973.5,2,1027947.0,Lunas
43,2025-12-21 17:41:03,PC Case,345674.0,2,691348.0,Lunas
44,2025-09-18 00:48:45,MotherBoard,2253896.0,1,2253896.0,Lunas
45,2025-02-12 13:13:06,CPU,226164.75,4,904659.0,Lunas
46,2025-12-23 00:05:01,PC Case,586638.0,1,586638.0,Lunas
47,2025-04-05 10:52:33,RAM,102799.6,5,513998.0,Lunas
48,2025-08-14 12:55:03,CPU,160619.0,5,803095.0,Lunas
49,2025-12-06 22:19:19,CPU,604552.0,3,1813656.0,Hutang
50,2025-04-16 20:46:49,RAM,217501.0,3,652503.0,Lunas
51,2025-03-01 16:04:52,PC Case,567033.25,4,2268133.0,Lunas
52,2025-12-04 18:05:26,GPU,1772698.0,1,1772698.0,Hutang
53,2025-09-15 16:52:36,CPU,210973.0,3,632919.0,Lunas
54,2025-07-25 06:28:19,RAM,195812.8,5,979064.0,Lunas
55,2025-10-31 16:48:13,CPU,2259914.0,1,2259914.0,Lunas
56,2025-11-18 20:33:06,CPU,355589.0,2,711178.0,Lunas
57,2025-05-02 00:38:25,CPU,373324.5,4,1493298.0,Lunas
58,2025-04-19 09:14:48,PC Case,151196.0,4,604784.0,Hutang
59,2025-04-23 10:03:59,CPU,394521.33,3,1183564.0,Lunas
60,2025-06-07 17:53:26,PC Case,431411.5,2,862823.0,Hutang
61,2025-08-25 18:05:52,MotherBoard,811392.0,1,811392.0,Lunas
62,2025-11-25 14:55:56,MotherBoard,484066.75,4,1936267.0,Hutang
63,2025-09-12 11:14:13,MotherBoard,577829.67,3,1733489.0,Lunas
64,2025-05-05 00:09:29,GPU,163376.0,4,653504.0,Lunas
65,2025-06-11 16:14:20,RAM,537421.25,4,2149685.0,Lunas
66,2025-08-03 12:21:01,MotherBoard,577568.67,3,1732706.0,Lunas
67,2025-04-13 18:29:25,MotherBoard,345169.75,4,1380679.0,Lunas
68,2025-09-26 07:26:52,PC Case,1342082.0,1,1342082.0,Hutang
69,2025-03-26 23:38:02,MotherBoard,1059915.0,1,1059915.0,Hutang
70,2025-07-09 20:01:12,MotherBoard,2212920.0,1,2212920.0,Hutang
71,2025-05-13 15:26:58,GPU,1873080.0,1,1873080.0,Lunas
72,2025-04-29 18:51:20,PC Case,126310.6,5,631553.0,Lunas
73,2025-09-09 10:46:11,GPU,205112.75,4,820451.0,Lunas
74,2025-05-17 02:02:34,PC Case,447216.0,5,2236080.0,Lunas
75,2025-09-24 20:45:40,RAM,398728.0,4,1594912.0,Hutang
76,2025-08-03 02:23:33,GPU,165637.25,4,662549.0,Batal
77,2025-02-17 02:52:52,RAM,549775.67,3,1649327.0,Lunas
78,2025-07-05 21:10:28,GPU,178206.6,5,891033.0,Lunas
79,2025-11-13 11:36:44,MotherBoard,476209.0,3,1428627.0,Lunas
80,2025-02-12 05:54:35,CPU,195545.75,4,782183.0,Hutang
81,2025-08-01 08:20:06,MotherBoard,442383.0,3,1327149.0,Lunas
82,2025-05-04 02:11:09,MotherBoard,1737995.0,1,1737995.0,Lunas
